division_alias,party_number,votes,percent
00.87.51,4,98,30.625
00.87.52,17,0,0.0
00.87.52,10,3,0.64
00.87.52,25,51,10.874
00.87.52,12,0,0.0
00.87.52,20,2,0.426
00.87.52,26,0,0.0
00.87.52,16,1,0.213
00.87.52,21,0,0.0
00.87.52,23,0,0.0
00.87.52,3,0,0.0
00.87.52,27,1,0.213
00.87.52,41,37,7.889
00.87.52,5,52,11.087
00.87.52,36,33,7.036
00.87.52,9,105,22.388
00.87.52,6,0,0.0
00.87.52,8,6,1.279
00.87.52,4,178,37.953
00.87.53,17,0,0.0
00.87.53,10,1,1.724
00.87.53,25,9,15.517
00.87.53,12,0,0.0
00.87.53,20,0,0.0
00.87.53,26,0,0.0
00.87.53,16,3,5.172
00.87.53,21,0,0.0
00.87.53,23,0,0.0
00.87.53,3,0,0.0
00.87.53,27,0,0.0
00.87.53,41,12,20.69
00.87.53,5,7,12.069
00.87.53,36,3,5.172
00.87.53,9,6,10.345
00.87.53,6,1,1.724
00.87.53,8,1,1.724
00.87.53,4,15,25.862
00.87.54,17,0,0.0
00.87.54,10,1,1.754
00.87.54,25,8,14.035
00.87.54,12,0,0.0
00.87.54,20,0,0.0
00.87.54,26,0,0.0
00.87.54,16,0,0.0
00.87.54,21,1,1.754
00.87.54,23,0,0.0
00.87.54,3,0,0.0
00.87.54,27,0,0.0
00.87.54,41,10,17.544
00.87.54,5,4,7.018
00.87.54,36,4,7.018
00.87.54,9,10,17.544
00.87.54,6,1,1.754
00.87.54,8,0,0.0
00.87.54,4,18,31.579
00.87.55,17,1,1.149
00.87.55,10,3,3.448
00.87.55,25,3,3.448
00.87.55,12,0,0.0
00.87.55,20,0,0.0
00.87.55,26,0,0.0
00.87.55,16,0,0.0
00.87.55,21,0,0.0
00.87.55,23,0,0.0
00.87.55,3,0,0.0
00.87.55,27,0,0.0
00.87.55,41,4,4.598
00.87.55,5,10,11.494
00.87.55,36,7,8.046
00.87.55,9,26,29.885
00.87.55,6,1,1.149
00.87.55,8,1,1.149
00.87.55,4,31,35.632
00.87.56,17,1,0.658
00.87.56,10,1,0.658
00.87.56,25,24,15.789
00.87.56,12,0,0.0
00.87.56,20,0,0.0
